date,location,subject_statuses,subject_weapon,subject_race,subject_gender,latitude,longitude,month,season,officer_count_cat,street
2004-09-11,5146 Vandelia Street #101,Injured,Handgun,Latin,M,32.82223,-96.823942,9,autumn,alone, Vandelia Street #
2014-05-24,6048 Belmont Avenue,Shoot and Miss,Handgun,Latin,M,32.81731,-96.761852,5,spring,alone, Belmont Avenue
2007-03-23,4023 Bernal Drive,Injured,Shotgun/Rifle,Latin,M,32.7915,-96.886832,3,spring,more than 3, Bernal Drive
2006-01-01,5423 Peterson Lane #259,Injured,Knife,Latin,M,32.9306,-96.814373,1,winter,alone, Peterson Lane #
2012-02-24,17601 Marsh Lane,Deceased,Handgun,White,M,32.99075,-96.854966,2,winter,alone, Marsh Lane
2009-03-29,1400 N. Garrett Avenue,Deceased,Handgun,Latin,M,32.8057,-96.771209,3,spring,2 to 3, N. Garrett Avenue
2011-11-30,3800 Dilido Street,Shoot and Miss,Handgun,Latin,M,32.79855,-96.688211,11,autumn,alone, Dilido Street
2011-07-22,2550 W. Redbird Lane,Shoot and Miss,Unarmed,Black,M,32.67113,-96.859781,7,summer,alone, W. Redbird Lane
2007-06-15,1200 Shaw Street,Injured,Vehicle,Latin,M,32.78589,-96.842736,6,summer,2 to 3, Shaw Street
2015-06-26,3306 Irving Boulevard,Shoot and Miss,Handgun,Latin,M,32.80791,-96.874081,6,summer,alone, Irving Boulevard
2006-03-05,10834 Ferguson Road,Shoot and Miss,Vehicle,Black,M,32.84293,-96.664025,3,spring,alone, Ferguson Road
2008-12-14,2505 Pacific Avenue,Shoot and Miss,Handgun,Latin,M,32.78471,-96.789168,12,winter,alone, Pacific Avenue
2007-08-27,2911 Lombardy Lane,Shoot and Miss,Vehicle,Latin,M,32.8664,-96.876324,8,summer,alone, Lombardy Lane
2014-02-15,13030 Audelia Road,Injured,Handgun,Black,M,32.92425,-96.71798,2,winter,2 to 3, Audelia Road
2004-06-22,3900 N. Hampton Road,Shoot and Miss,Vehicle,Black,M,32.78976,-96.85641,6,summer,alone, N. Hampton Road
2005-11-13,2415 Madera Street,Shoot and Miss,Handgun,Latin,M,32.81616,-96.778443,11,autumn,alone, Madera Street
